Model,None,code2vec,fullCanonicalizationdeepwalk,fullCanonicalizationnode2vec,noneCanonicalizationdeepwalk,noneCanonicalizationnode2vec,origCanonicalizationdeepwalk,origCanonicalizationnode2vec,partCanonicalizationdeepwalk,partCanonicalizationnode2vec,tf_idf
Baseline (mean),0.23505114038593627,,,,,,,,,,
Lasso Regression,,0.20056750381808425,0.18732455389468347,0.18634199539029392,0.1939937581739351,0.19502909852609732,0.19052851446035793,0.18966012202997992,0.18779475732003745,0.1865815159676712,0.2142901623648827
Linear Regression,,0.2078923067542796,0.18937324610554748,0.18634255162944624,0.19399375800704574,0.19502909877461067,0.19047700397722064,0.18967431406316396,0.18779474765286422,0.18658108071635834,0.21429017305329626
Neural Regression,,0.19737568452640908,0.1882771759896077,0.1861553212986739,0.20331977814157245,0.19997353440189947,0.18962666567841405,0.18968356369274794,0.18424751673348927,0.19088059600435472,0.2186788348183468
Ridge Regression,,0.20789230464228994,0.18937323625918878,0.18634255150844825,0.19399375800704688,0.19502909877459892,0.1904769897407787,0.18967430717200545,0.18779474765305804,0.1865810805794459,0.21429017305329623
