Model,FC-vectors-5,LC-vectors-5,NC-vectors-10,NC-vectors-5,None,VC-vectors-5,code2vec
Baseline (mean),,,,,0.20642147168950642,,
Lasso Regression,0.18838973056166786,0.18695141922706723,0.19432016324928522,0.19397396992039928,,0.18669240805496826,0.20778882315861866
Linear Regression,0.1883897449138794,0.18695144193719088,0.19464199534768092,0.19397614925605375,,0.19129337016244452,0.2128173991057854
Neural Regression,0.18760620654602805,0.18726820727107446,0.19120363757700407,0.1969501441151347,,0.19067983277283426,0.20231200524115175
Ridge Regression,0.18838974491246266,0.18695144193642105,0.19458048171176243,0.19372572200069027,,0.1866924378087184,0.21280547675493533
