,Model,Embedding,MAE,RMSE
7,Neural Regression,FC-vectors-5,0.14210496776524403,0.18760620654602805
12,Lasso Regression,LC-vectors-5,0.14071415872898668,0.18695141922706723
23,Neural Regression,NC-vectors-10,0.1470731269798506,0.19120363757700407
14,Ridge Regression,NC-vectors-5,0.14846799556228163,0.19372572200069027
0,Baseline (mean),None,0.1659730276134122,0.20642147168950642
20,Lasso Regression,VC-vectors-5,0.14376528168036684,0.18669240805496826
3,Neural Regression,code2vec,0.15248738006279675,0.20231200524115175
